,v0,v1,v2,angle,capacitance,loss,position
0,7.886593218787194,7.893002105777154,7.8989532151249735,-0.0006637566295534793,231.75,0.2,7.5
1,7.886593218787194,7.893002105777154,7.8994109927671134,-0.0006637566295534793,231.88,0.1,7.5
2,7.886593218787194,7.919553209021271,7.872859889522996,-0.0005973809665981314,230.07,0.1,7.5
3,7.886593218787194,7.919553209021271,7.872859889522996,-0.0005973809665981314,230.07,0.1,7.5
4,7.886593218787194,7.945646534623249,7.846766563921018,-0.0005310053036427834,227.88,0.2,7.5
5,7.886135441145054,7.945188756981109,7.846766563921018,-0.0005310053036427834,227.94,0.2,7.5
6,7.886593218787194,7.9717398602252265,7.81975768303476,-0.0004646296406874355,226.29,0.1,7.5
7,7.886135441145054,7.9717398602252265,7.81975768303476,-0.0004646296406874355,225.96,0.1,7.5
8,7.886593218787194,7.997833185827204,7.793206579790643,-0.00039825397773208756,224.23,0.1,7.5
9,7.886593218787194,7.997833185827204,7.793664357432783,-0.00039825397773208756,224.19,0.1,7.5
10,7.886593218787194,8.024384289071321,7.766655476546526,-0.00033187831477673964,222.44,0.1,7.5
11,7.886593218787194,8.023926511429181,7.766655476546526,-0.00033187831477673964,222.37,0.1,7.5
12,7.886135441145054,8.0504776146733,7.741935483870968,-0.0002655026518213917,221.32,0.1,7.5
13,7.886593218787194,8.05139316995758,7.741477706228828,-0.0002655026518213917,221.2,0.2,7.5
14,7.886593218787194,8.076113162633137,7.71492660298471,-0.00019912698886604378,219.69,0.1,7.5
15,7.886135441145054,8.076113162633137,7.71446882534257,-0.00019912698886604378,219.58,0.1,7.5
16,7.886593218787194,8.103122043519395,7.688833277382733,-0.00013275132591069585,218.55,0.1,7.5
17,7.886593218787194,8.102206488235115,7.688375499740593,-0.00013275132591069585,218.27,0.2,7.5
18,7.886135441145054,8.127842036194952,7.661824396496475,-6.637566295534787e-05,217.04,0.1,7.5
19,7.886135441145054,8.128299813837092,7.661824396496475,-6.637566295534787e-05,216.86,0.1,7.5
20,7.886135441145054,8.155766472365489,7.636188848536637,0.0,216.09,0.1,7.5
21,7.886593218787194,8.155308694723349,7.636188848536637,0.0,215.95,0.2,7.5
22,7.886593218787194,8.180944242683188,7.61009552293466,6.637566295534787e-05,214.99,0.1,7.5
23,7.886593218787194,8.181402020325327,7.61009552293466,6.637566295534787e-05,214.9,0.1,7.5
24,7.886593218787194,8.207953123569444,7.5844599749748225,0.00013275132591069585,214.2,0.1,7.5
25,7.886593218787194,8.207495345927304,7.5844599749748225,0.00013275132591069585,214.22,0.2,7.5
26,7.886593218787194,8.233130893887143,7.556993316446425,0.00019912698886604384,213.25,0.1,7.5
27,7.886135441145054,8.232673116245003,7.556993316446425,0.00019912698886604384,213.18,0.2,7.5
28,7.886593218787194,8.26059755241554,7.531815546128727,0.0002655026518213917,212.56,0.1,7.5
29,7.886593218787194,8.25968199713126,7.531357768486587,0.0002655026518213917,212.61,0.1,7.5
30,7.886593218787194,8.286233100375378,7.505722220526749,0.0003318783147767396,211.73,0.1,7.5
31,7.886593218787194,8.286690878017518,7.5043488876003295,0.0003318783147767396,211.72,0.2,7.5
32,7.886593218787194,8.312784203619495,7.478255561998352,0.00039825397773208756,211.2,0.1,7.5
33,7.887050996429334,8.313241981261635,7.477797784356212,0.00039825397773208756,211.05,0.1,7.5
34,7.887050996429334,8.339793084505752,7.451246681112094,0.00046462964068743555,210.57,0.1,7.5
35,7.885677663502914,8.338877529221472,7.451704458754234,0.00046462964068743555,210.56,0.1,7.5
36,7.886593218787194,8.36542863246559,7.424695577867977,0.0005310053036427835,210.05,0.2,7.5
37,7.886593218787194,8.36497085482345,7.426068910794397,0.0005310053036427835,210.11,0.1,7.5
38,7.885677663502914,8.391521958067568,7.399517807550279,0.0005973809665981313,209.88,0.1,7.5
39,7.886593218787194,8.391979735709707,7.399975585192419,0.0005973809665981313,210.05,0.1,7.5
40,7.886135441145054,8.418073061311686,7.372508926664022,0.0006637566295534793,209.72,0.2,7.5
41,7.886593218787194,8.418530838953826,7.372508926664022,0.0006637566295534793,209.67,0.1,7.5
