,voltage,cmean,cstd,lmean,lstd,vmean,vstd
0,150.0,297.585,0.24500000000000455,7.75,0.25,3.0,0.0
1,149.0,291.93,0.01999999999998181,6.35,0.050000000000000266,3.0,0.0
2,148.0,282.345,0.10499999999998977,3.0,0.0,3.0,0.0
3,147.0,267.38149999999996,0.030499999999989313,2.993,0.05699999999999994,7.5,0.0
4,146.0,254.3205,0.03350000000000364,2.64,0.020000000000000018,7.5,0.0
5,145.0,242.9565,0.050499999999999545,2.5,0.009999999999999787,7.5,0.0
6,144.0,232.892,0.0519999999999925,2.42,0.010000000000000009,7.5,0.0
7,143.0,223.8845,0.055499999999995,2.365,0.0050000000000001155,7.5,0.0
8,142.0,215.688,0.058000000000006935,2.3,0.010000000000000009,7.5,0.0
9,141.0,208.2255,0.05849999999999511,2.23,0.0,7.5,0.0
10,140.0,201.3245,0.0625,2.14,0.0,7.5,0.0
11,139.0,194.91750000000002,0.05749999999999034,2.02,0.0,7.5,0.0
12,138.0,188.9665,0.06550000000000011,1.915,0.015000000000000013,7.5,0.0
13,137.0,183.395,0.0589999999999975,1.81,0.010000000000000009,7.5,0.0
14,136.0,178.1725,0.06050000000000466,1.6749999999999998,0.015000000000000013,7.5,0.0
15,135.0,173.2475,0.0625,1.52,0.010000000000000009,7.5,0.0
16,134.0,168.5985,0.061499999999995225,1.35,0.020000000000000018,7.5,0.0
17,133.0,164.1845,0.05349999999999966,1.1749999999999998,0.015000000000000013,7.5,0.0
18,132.0,160.15699999999998,0.09300000000000352,1.065,0.03500000000000003,7.5,0.0
19,131.0,156.0915,0.055499999999995,0.845,0.015000000000000013,7.5,0.0
20,130.0,152.42849999999999,0.09150000000001057,0.08,0.009999999999999995,7.5,0.0
21,129.0,148.87849999999997,0.09550000000000125,0.09,0.0,7.5,0.0
22,128.0,145.323,0.049000000000006594,0.08499999999999999,0.0049999999999999975,7.5,0.0
23,127.0,142.0385,0.050499999999999545,0.08,0.0,7.5,0.0
24,126.0,139.0265,0.08449999999999136,0.07,0.0,7.5,0.0
25,125.0,136.047,0.08899999999999864,0.07,0.0,11.25,3.75
26,124.0,133.06799999999998,0.05700000000000216,0.065,0.0050000000000000044,15.0,0.0
27,123.0,130.2735,0.05149999999999011,0.06,0.0,15.0,0.0
28,122.0,127.593,0.04800000000000182,0.055,0.0049999999999999975,15.0,0.0
29,121.0,125.0215,0.0484999999999971,0.055,0.0049999999999999975,15.0,0.0
30,120.0,122.5275,0.04749999999999943,0.05,0.0,15.0,0.0
31,119.0,120.1395,0.04550000000000409,0.05,0.0,15.0,0.0
32,118.0,117.833,0.045000000000001705,0.04,0.0,15.0,0.0
