,v0,v1,v2,angle,capacitance,loss,position
0,8.882259590441603,8.557695242164373,9.228339487899412,-0.0008331028656398257,462.53,0.6,3.0
1,8.882259590441603,8.557695242164373,9.228339487899412,-0.0008331028656398257,461.18,0.6,3.0
2,8.882259590441603,8.557695242164373,9.228339487899412,-0.0008331028656398257,460.3,1.0,3.0
3,8.882259590441603,8.557695242164373,9.228339487899412,-0.0008331028656398257,459.86,0.6,3.0
4,8.882717368083743,8.557695242164373,9.228797265541552,-0.0008331028656398257,458.53,0.6,3.0
5,8.882259590441603,8.591113010040589,9.196295052949614,-0.0007497925790758432,444.5,1.0,3.0
6,8.882259590441603,8.591113010040589,9.196295052949614,-0.0007497925790758432,442.89,0.6,3.0
7,8.882717368083743,8.591113010040589,9.196295052949614,-0.0007497925790758432,443.1,0.5,3.0
8,8.882259590441603,8.591113010040589,9.196295052949614,-0.0007497925790758432,441.14,0.6,3.0
9,8.882259590441603,8.591570787682729,9.196295052949614,-0.0007497925790758432,441.27,0.6,3.0
10,8.882259590441603,8.623615222632527,9.163792840357678,-0.0006664822925118606,430.32,0.5,3.0
11,8.882717368083743,8.624073000274667,9.163335062715538,-0.0006664822925118606,429.95,0.4,3.0
12,8.882259590441603,8.623615222632527,9.163335062715538,-0.0006664822925118606,428.42,0.5,3.0
13,8.882259590441603,8.624073000274667,9.163335062715538,-0.0006664822925118606,427.36,0.5,3.0
14,8.882259590441603,8.624073000274667,9.163792840357678,-0.0006664822925118606,427.01,0.5,3.0
15,8.882717368083743,8.657032990508744,9.12945951719718,-0.000583172005947878,417.0,0.4,3.0
16,8.882259590441603,8.657490768150884,9.12945951719718,-0.000583172005947878,416.5,0.7,3.0
17,8.882259590441603,8.657032990508744,9.12991729483932,-0.000583172005947878,417.7,1.0,3.0
18,8.882717368083743,8.657490768150884,9.12945951719718,-0.000583172005947878,416.68,0.4,3.0
19,8.882717368083743,8.657032990508744,9.12945951719718,-0.000583172005947878,416.76,0.5,3.0
20,8.882717368083743,8.68953520310068,9.096499526963104,-0.0004998617193838954,408.75,0.4,3.0
21,8.882717368083743,8.68953520310068,9.096957304605244,-0.0004998617193838954,408.98,0.4,3.0
22,8.882717368083743,8.68953520310068,9.096499526963104,-0.0004998617193838954,408.51,0.4,3.0
23,8.882259590441603,8.68953520310068,9.096957304605244,-0.0004998617193838954,408.68,0.4,3.0
24,8.882259590441603,8.68953520310068,9.096499526963104,-0.0004998617193838954,407.46,0.4,3.0
25,8.882717368083743,8.722952970976898,9.063997314371166,-0.00041655143281991286,402.1,0.7,3.0
26,8.882259590441603,8.722952970976898,9.063539536729026,-0.00041655143281991286,401.65,0.4,3.0
27,8.882717368083743,8.722952970976898,9.063997314371166,-0.00041655143281991286,402.0,0.7,3.0
28,8.882259590441603,8.722952970976898,9.063997314371166,-0.00041655143281991286,402.5,0.7,3.0
29,8.882259590441603,8.722952970976898,9.063997314371166,-0.00041655143281991286,402.4,0.5,3.0
30,8.882259590441603,8.756370738853114,9.031037324137088,-0.0003332411462559303,398.2,1.0,3.0
31,8.882717368083743,8.755912961210974,9.031037324137088,-0.0003332411462559303,397.4,0.5,3.0
32,8.882259590441603,8.756828516495254,9.030579546494948,-0.0003332411462559303,397.52,0.4,3.0
33,8.882259590441603,8.756828516495254,9.031037324137088,-0.0003332411462559303,397.85,0.4,3.0
34,8.882259590441603,8.756370738853114,9.031037324137088,-0.0003332411462559303,397.85,0.3,3.0
35,8.882717368083743,8.789330729087192,8.997619556260872,-0.0002499308596919477,392.7,0.5,3.0
36,8.882259590441603,8.789330729087192,8.998077333903012,-0.0002499308596919477,392.94,0.3,3.0
37,8.882717368083743,8.789330729087192,8.997619556260872,-0.0002499308596919477,393.6,1.0,3.0
38,8.882717368083743,8.789330729087192,8.997619556260872,-0.0002499308596919477,392.66,0.3,3.0
39,8.882259590441603,8.789330729087192,8.998077333903012,-0.0002499308596919477,391.6,1.0,3.0
40,8.882259590441603,8.821832941679128,8.964659566026794,-0.00016662057312796514,388.36,0.3,3.0
41,8.882717368083743,8.821832941679128,8.965117343668934,-0.00016662057312796514,387.18,0.3,3.0
42,8.882259590441603,8.821832941679128,8.965117343668934,-0.00016662057312796514,387.1,0.7,3.0
43,8.882717368083743,8.821832941679128,8.964659566026794,-0.00016662057312796514,387.8,0.3,3.0
44,8.882717368083743,8.821832941679128,8.965117343668934,-0.00016662057312796514,388.62,0.3,3.0
45,8.882259590441603,8.854792931913206,8.932157353434858,-8.331028656398257e-05,386.25,0.3,3.0
46,8.882259590441603,8.855250709555346,8.932157353434858,-8.331028656398257e-05,385.28,0.3,3.0
47,8.882717368083743,8.854792931913206,8.932615131076998,-8.331028656398257e-05,384.9,0.3,3.0
48,8.882259590441603,8.854792931913206,8.932157353434858,-8.331028656398257e-05,384.52,0.3,3.0
49,8.882259590441603,8.854335154271066,8.932615131076998,-8.331028656398257e-05,384.0,0.5,3.0
50,8.882259590441603,8.889126255073702,8.89965514084292,0.0,382.47,0.3,3.0
51,8.882259590441603,8.889126255073702,8.89965514084292,0.0,382.63,0.3,3.0
52,8.882259590441603,8.889126255073702,8.89965514084292,0.0,383.5,0.5,3.0
53,8.882717368083743,8.888668477431562,8.89965514084292,0.0,383.42,0.3,3.0
54,8.882259590441603,8.888668477431562,8.89965514084292,0.0,382.52,0.3,3.0
55,8.882717368083743,8.9211706900235,8.865779595324565,8.331028656398257e-05,380.53,0.3,3.0
56,8.882259590441603,8.9211706900235,8.865779595324565,8.331028656398257e-05,379.9,0.7,3.0
