,v0,v1,v2,angle,capacitance,loss,position
0,7.625659962767418,8.763237403485213,8.04452650532548,-0.00016983084250483607,915.8,2.0,1.5
1,7.625659962767418,8.763237403485213,8.04498428296762,-0.00016983084250483607,916.4,2.0,1.5
2,7.625659962767418,8.776512955107272,8.031708731345562,-0.00013586467400386886,914.2,2.0,1.5
3,7.625659962767418,8.776512955107272,8.03125095370342,-0.00013586467400386886,912.4,2.0,1.5
4,7.6252021851252785,8.789788506729332,8.017975402081362,-0.00010189850550290164,909.2,2.0,1.5
5,7.625659962767418,8.790246284371472,8.017975402081362,-0.00010189850550290164,908.7,2.0,1.5
6,7.625659962767418,8.80306405835139,8.004699850459303,-6.793233700193443e-05,907.5,2.0,1.5
7,7.625659962767418,8.80306405835139,8.004699850459303,-6.793233700193443e-05,906.6,2.0,1.5
8,7.625659962767418,8.816339609973449,7.991424298837245,-3.3966168500967214e-05,905.8,2.0,1.5
9,7.6252021851252785,8.816797387615589,7.991424298837245,-3.3966168500967214e-05,905.6,2.0,1.5
10,7.6252021851252785,8.830072939237647,7.977690969573046,0.0,905.9,1.0,1.5
11,7.6252021851252785,8.829615161595507,7.978148747215186,0.0,905.4,1.0,1.5
12,7.626117740409558,8.842890713217566,7.9639576403088475,3.3966168500967214e-05,902.7,1.0,1.5
13,7.6252021851252785,8.842890713217566,7.9639576403088475,3.3966168500967214e-05,902.4,1.0,1.5
14,7.6252021851252785,8.857539597766046,7.950682088686788,6.793233700193443e-05,909.1,1.0,1.5
15,7.625659962767418,8.857997375408186,7.950682088686788,6.793233700193443e-05,912.0,1.0,1.5
16,7.6252021851252785,8.871272927030244,7.93694875942259,0.00010189850550290164,910.9,1.0,1.5
17,7.625659962767418,8.871272927030244,7.93694875942259,0.00010189850550290164,910.0,1.0,1.5
18,7.625659962767418,8.884548478652302,7.924130985442671,0.00013586467400386886,916.3,3.0,1.5
19,7.625659962767418,8.884548478652302,7.924130985442671,0.00013586467400386886,915.6,3.0,1.5
20,7.6252021851252785,8.8982818079165,7.910397656178472,0.00016983084250483607,921.4,3.0,1.5
21,7.625659962767418,8.8982818079165,7.909939878536332,0.00016983084250483607,924.0,3.0,1.5
