,v0,v1,v2,angle,capacitance,loss,position
0,7.573015533921323,8.970152897732476,7.890255439924314,-0.00015442431910835374,992.7,4.0,1.5
1,7.572099978637043,8.971526230658895,7.891170995208594,-0.00015442431910835374,992.9,4.0,1.5
2,7.583544419690543,8.965575121311074,7.885677663502914,-0.00012353945528668299,991.1,4.0,1.5
3,7.583086642048403,8.966032898953214,7.885677663502914,-0.00012353945528668299,990.5,4.0,1.5
4,7.5931577501754814,8.960539567247535,7.880184331797235,-9.265459146501225e-05,986.7,4.0,1.5
5,7.593615527817621,8.960539567247535,7.880184331797235,-9.265459146501225e-05,987.9,4.0,1.5
6,7.6036866359447,8.955046235541856,7.8751487777336955,-6.17697276433415e-05,984.3,4.0,1.5
7,7.6036866359447,8.955046235541856,7.8746910000915555,-6.17697276433415e-05,981.0,4.0,1.5
8,7.61375774407178,8.949552903836176,7.870113223670156,-3.088486382167075e-05,984.0,4.0,1.5
9,7.61421552171392,8.949552903836176,7.870113223670156,-3.088486382167075e-05,983.1,4.0,1.5
10,7.6252021851252785,8.944517349772637,7.864162114322337,0.0,986.2,4.0,1.5
11,7.625659962767418,8.945432905056917,7.864619891964477,0.0,985.9,4.0,1.5
12,7.636188848536637,8.939481795709098,7.8591265602587965,3.0884863821670726e-05,984.1,4.0,1.5
13,7.636646626178777,8.938566240424818,7.8595843379009365,3.0884863821670726e-05,986.4,4.0,1.5
14,7.646259956663717,8.934446241645558,7.854091006195257,6.176972764334148e-05,984.9,4.0,1.5
15,7.646259956663717,8.934446241645558,7.853633228553117,6.176972764334148e-05,984.2,5.0,1.5
16,7.656788842432936,8.928037354655599,7.848597674489578,9.265459146501223e-05,982.4,4.0,1.5
17,7.656788842432936,8.928495132297739,7.848597674489578,9.265459146501223e-05,984.7,5.0,1.5
18,7.666859950560014,8.92300180059206,7.844019898068178,0.00012353945528668296,986.2,4.0,1.5
19,7.666859950560014,8.9234595782342,7.843562120426038,0.00012353945528668296,987.3,5.0,1.5
20,7.678304391613514,8.91796624652852,7.838068788720359,0.00015442431910835374,988.0,4.0,1.5
21,7.677846613971374,8.91750846888638,7.838068788720359,0.00015442431910835374,994.3,5.0,1.5
