,v0,v1,v2,angle,capacitance,loss,position
0,7.410504470961638,9.062623981444746,7.723166600543229,-0.00032695424400219227,475.2,0.5,3.0
1,7.410504470961638,9.060792870876186,7.72133548997467,-0.00032695424400219227,474.7,0.6,3.0
2,7.432020020142216,9.049348429822688,7.709891048921171,-0.00026156339520175384,472.4,0.7,3.0
3,7.432020020142216,9.049806207464828,7.710348826563311,-0.00026156339520175384,472.4,0.7,3.0
4,7.4549089022492145,9.039277321695609,7.700277718436231,-0.00019617254640131535,471.4,0.7,3.0
5,7.454451124607075,9.038819544053469,7.700277718436231,-0.00019617254640131535,470.9,0.7,3.0
6,7.477797784356212,9.027832880642109,7.6897488326670125,-0.0001307816976008769,471.2,0.5,3.0
7,7.477340006714072,9.027832880642109,7.6897488326670125,-0.0001307816976008769,470.6,0.6,3.0
8,7.49977111117893,9.01821955015717,7.677388836329234,-6.539084880043843e-05,469.4,0.7,3.0
9,7.50022888882107,9.01684621723075,7.677846613971374,-6.539084880043843e-05,469.3,0.6,3.0
10,7.520828882717368,9.004943998535111,7.667775505844294,5.421010862427522e-20,469.1,0.6,3.0
11,7.522659993285928,9.005859553819391,7.667317728202154,5.421010862427522e-20,469.1,0.7,3.0
12,7.5450910977507855,8.994872890408033,7.655873287148656,6.539084880043849e-05,470.2,0.5,3.0
13,7.5446333201086455,8.995330668050173,7.654957731864376,6.539084880043849e-05,469.8,0.7,3.0
14,7.567522202215644,8.982512894070254,7.644428846095157,0.00013078169760087692,467.9,1.0,3.0
15,7.566606646931364,8.982512894070254,7.643513290810877,0.00013078169760087692,468.5,0.7,3.0
16,7.589495529038362,8.971984008301035,7.6329844050416575,0.0001961725464013154,470.0,0.7,3.0
17,7.589495529038362,8.971984008301035,7.6329844050416575,0.0001961725464013154,471.4,0.5,3.0
18,7.61146885586108,8.960997344889675,7.621539963988159,0.0002615633952017539,471.7,1.0,3.0
19,7.61101107821894,8.961455122531815,7.621997741630299,0.0002615633952017539,471.9,0.7,3.0
20,7.634357737968077,8.950010681478316,7.61101107821894,0.00032695424400219227,476.6,0.7,3.0
21,7.633899960325937,8.950010681478316,7.61146885586108,0.00032695424400219227,475.5,0.7,3.0
